"","logFC","AveExpr","t","P.Value","adj.P.Val","B","pval"
"210476_s_at",1.19593351730558,6.33715074016084,1.97313441151005,0.0637665714852894,0.257551298243013,-4.41332978449629,0.0254198831296686
"211097_s_at",1.13846854609602,5.47905628348965,-1.96640273216165,0.0645949760951246,0.259339211730973,-4.42429886092054,0.00446552221221259
"213279_at",-1.06737708990114,7.0241058447118,-1.95185147509303,0.0664185978374675,0.263393062041696,-4.44792828981549,0.000263250383693542
"204231_s_at",-1.03832498808607,5.4045425068876,1.94696520845643,0.0670411867084847,0.264778228185956,-4.45583786048044,0.0315298625500137
"220139_at",-1.23274251729973,4.94031613984967,1.93691438708028,0.0683381998088893,0.267482892383889,-4.47206751106352,0.00325022959468963
"217877_s_at",-1.96073897275074,8.06140646396842,1.9300302968094,0.0692394042291027,0.269401369728845,-4.48315247001098,2.55229479484846e-05
"205286_at",1.30747899564652,6.01212757866938,1.92444108124129,0.0699788539619469,0.271000834694832,-4.4921336428133,0.00306786675050198
"210604_at",1.57147425543457,5.31744311582419,1.92242864989957,0.0702468110119275,0.271237166830494,-4.49536324348897,7.33983824664514e-05
"214104_at",1.09885882142081,5.84073155295285,-1.91711287515151,0.0709590002139516,0.272899448009576,-4.50388359748684,0.00631081426602042
"202079_s_at",1.15204135659776,6.85120645063306,1.89463027957645,0.0740424982314245,0.279121804786133,-4.53974954005575,0.027575299182659
"204410_at",-1.11464590314029,4.34037070690178,1.89308736038552,0.074258397971388,0.279604576207577,-4.54220076601091,0.0254461568352411
"205017_s_at",1.49071283100995,5.90802775103864,1.89187040470492,0.0744290786473081,0.280057946554874,-4.54413321060315,0.00294573907029962
"201720_s_at",-1.66136602750506,7.87319345673193,-1.85605219693685,0.0796104418110104,0.29031664445562,-4.60064168005721,0.00201947301651385
"215794_x_at",1.46342579896684,6.82141315827954,1.84660169317059,0.0810294426361755,0.292858553867751,-4.61543122099025,0.0170618434206384
"213197_at",1.37352166797052,4.41311706323798,-1.84628582266482,0.0810772525607034,0.292858553867751,-4.61592466792947,0.00139675015584111
"200920_s_at",-1.03209472820269,9.652679660048,-1.8383153783089,0.0822918868384793,0.295378562245785,-4.62835716891646,0.00306609936933662
"205558_at",-1.19171282596981,6.21619130914416,1.83514356444815,0.0827796740741863,0.296413221500095,-4.63329457293878,0.0162408414879133
"205317_s_at",-1.18061705228727,4.45188739911863,1.80316354238544,0.0878412155726774,0.306604919581136,-4.68275302041143,0.0401718801006114
"216638_s_at",3.48340181809059,4.62959808402277,1.80307104519387,0.0878562392705993,0.306609331192915,-4.68289521191095,0.00356655933793806
"203961_at",1.56835371295926,5.46634756241934,1.79682298041962,0.0888762794571287,0.308526271248356,-4.69248849688043,0.00045584045754115
"205065_at",-1.0484110574452,4.17014857983818,1.75410729587077,0.0961304537241192,0.322355863192894,-4.75745748181446,0.000270511052598808
"203109_at",-1.57370535729411,7.31835995214534,1.7518907080424,0.0965205202851909,0.322920287329624,-4.76079915850663,4.69624006166093e-05
"208115_x_at",1.0056889006774,4.47378133750079,1.74644717402879,0.0974842755350744,0.324457372927269,-4.76899315673791,3.87899624956534e-05
"217468_at",-1.9870016378897,5.82506612519899,1.74553627747728,0.0976463570557234,0.324721346792114,-4.77036255883058,0.0065146115132511
"200081_s_at",1.23352981880079,11.9075663719247,1.73094731063061,0.100274207320838,0.329607635599681,-4.79222652839264,0.00335265284519851
"203533_s_at",-2.00810159707883,4.62981378738803,-1.69393164159421,0.107217045256879,0.341194529436827,-4.84711643175302,0.000274097349487027
"205052_at",-1.76180517303302,6.39268313964474,1.6855849985959,0.108838413532519,0.343373406306829,-4.85937638188911,1.37940604062231e-05
"206238_s_at",2.77811754520553,5.58160954924034,1.63914811850797,0.118247026437847,0.35975950207415,-4.92678409881526,0.00102764516220663
"200857_s_at",-1.01446465602052,7.54429288407045,1.63849416348946,0.118384317143495,0.360032446964447,-4.92772358126463,0.0092966387496296
"208844_at",1.0172942212671,5.73177086873694,1.63151718873027,0.119857501908069,0.362582774235339,-4.93772970688025,0.0404916635961558
"203588_s_at",-1.26994324466062,7.14646243323758,1.62607745317494,0.121016862357738,0.36454972970115,-4.94550942036243,0.000675576260126511
"204531_s_at",1.27630275395477,4.55136842902849,1.61987392166297,0.122350593505768,0.366443316544225,-4.95435813885175,0.0030394985112252
"209762_x_at",-1.70124447421136,6.7473378590279,-1.61420080127266,0.123581159623762,0.368403636005879,-4.96242842955358,0.00679474133328063
"206097_at",-2.37361103675671,7.0820988257509,1.61250570999472,0.123950869286405,0.368820031994722,-4.96483571940285,7.16718703067851e-05
"204497_at",-3.18575717535778,6.74235885788361,-1.58588845960031,0.129879827645261,0.378860086322731,-5.00238980166969,1.54851142715362e-05
"217218_at",-1.66551688428004,4.34157578211626,1.5839388424667,0.130323328460099,0.379408770326155,-5.00512218486464,2.31943771804197e-05
"211002_s_at",-1.01896345330336,5.2811918527647,-1.56229671943583,0.135332495560633,0.386122150906221,-5.03528412563599,0.00025255150039329
"202519_at",-1.90414799367364,7.15513239992276,-1.55907311326434,0.136092232993933,0.386773765778606,-5.0397500359948,0.000235020997747506
"217815_at",-1.29864534613942,8.41725801410327,1.54932185015747,0.138412141893273,0.390558155984274,-5.05321676826408,1.84334176014681e-06
"209384_at",-1.06277417622803,7.67026421369537,-1.53790159726059,0.141170981420703,0.39474704458817,-5.06890695631173,0.0138761908295375
"210733_at",-1.09776070601199,5.80724627019407,1.517643715591,0.146177328249581,0.401724042258922,-5.0965213184283,0.00179230304189463
"209942_x_at",2.39691695123712,4.80120845786362,1.51308320847985,0.147324446124731,0.402949629679314,-5.10269928642866,0.00393606355515038
"206235_at",1.87002604566613,4.62044317733244,1.51296040457937,0.147355438143515,0.402984932271963,-5.10286544757733,0.00471194589673423
"206698_at",-1.2173328808651,4.1706586956849,1.49218230679922,0.152677418394783,0.410684562299728,-5.13082990306121,0.000105116819940421
"216470_x_at",-1.90137401581554,4.81752011325846,1.49202110776235,0.152719318680157,0.410747685956541,-5.13104568804058,9.98087723166034e-07
"217260_x_at",-1.37114521408133,5.46413940105478,1.49168652253428,0.152806317295275,0.410892744059773,-5.13149351447967,0.0109981772475115
"211324_s_at",-1.26897264770627,3.74056752096526,1.49167185550497,0.152810131940194,0.410892744059773,-5.13151314382479,0.00731011959240133
"218666_s_at",-1.05940924478639,5.45010547434363,1.48068112601362,0.155690768465207,0.415700338365437,-5.14618033915429,0.000424767500554928
"212672_at",-1.06570048802239,6.17803090683517,-1.48058904680653,0.155715089492077,0.415700338365437,-5.1463028640512,3.0526085413966e-05
"201789_at",-1.03202244467481,4.43559764221231,1.47530203953718,0.157116800852868,0.417336234760336,-5.15332807262628,0.00654226815133933
"220312_at",-1.39123657807987,4.81067521288191,1.46706208065445,0.159322049762949,0.420686483572436,-5.16423806181396,0.000359487076697238
"213741_s_at",-1.50143348320461,5.31192772163828,-1.46085554216002,0.160999793636925,0.423293821215739,-5.17242425028002,0.000534308557972208
"205194_at",-1.54104693846697,4.18150192190313,1.46080925337383,0.161012360482189,0.423293821215739,-5.17248520156111,0.000420447192829183
"218425_at",-1.46675888465914,5.50070268518141,-1.46046828399004,0.161104954277904,0.423482779694295,-5.17293413031728,0.000319807931273621
"221508_at",1.23794509622377,5.05551002326725,-1.45546097139965,0.162469766384396,0.425237689137148,-5.17951743817119,0.011021918279588
"220043_s_at",1.71408702889014,5.830416010982,-1.45243864889779,0.16329810543968,0.426219189474634,-5.18348243266341,0.00104757710475897
"210755_at",-2.01309230436921,4.07933032019753,1.45186209796854,0.163456513975962,0.426449069304105,-5.18423807788885,0.000243090484783102
"210569_s_at",-1.46643850693589,5.98514656141581,-1.44829288047634,0.164439958317706,0.427707218664375,-5.18891076421687,0.000140365890380214
"208801_at",-1.24522248280916,8.25745017792232,1.44612212460194,0.165040434844091,0.428498101270836,-5.19174822074461,0.000279085093003554
"209909_s_at",1.40261643968171,3.83983635192725,1.4420794906502,0.166163476897738,0.430094769942388,-5.19702354559174,0.00012402734700916
"219454_at",-2.52715675429281,5.96593168457674,-1.43925991521178,0.166950433154609,0.430972718024113,-5.2006959951675,0.000974684316824394
"206585_at",1.86546405855184,4.52626531502983,1.43486939345918,0.168181885781521,0.432344445523989,-5.20640330152025,0.00147576240664001
"213125_at",-1.11800856252913,7.32780016832468,-1.43240075009619,0.168877528584246,0.432846306039461,-5.2096062886633,0.00392196503955946
"212366_at",-1.37686680505232,4.72354106306478,1.4323899682198,0.168880571947542,0.432846306039461,-5.20962026826245,0.000899424655151596
"221102_s_at",-1.2316340699259,5.76292120123896,1.41727079591335,0.173192241481958,0.439399148006658,-5.22914161164606,0.00871493916787103
"220768_s_at",-1.1054507364708,6.80582799291185,1.41675056530692,0.173342172887328,0.439675561867088,-5.22981039409217,0.026015982083794
"91682_at",-1.16234168324507,7.24510851245249,1.41451556265453,0.173987500528965,0.440180481493881,-5.23268138456521,0.000921234453648049
"204218_at",-1.30269127351685,7.13010874724385,1.41203581728876,0.1747057678566,0.440937619659885,-5.23586254830239,0.00854529568582533
"203064_s_at",-1.09534450502033,6.86001089159485,1.39113004136475,0.180856897199821,0.450202828695406,-5.26250482375057,0.0195961105074785
"222380_s_at",-1.03577076785692,6.44998370602482,1.38433182889345,0.182894289864947,0.452863750525769,-5.27109998280616,0.0207049298869329
"213600_at",1.32229249921067,5.65924192574406,1.38054733547751,0.184036446405927,0.454501591905708,-5.275870185718,0.00539550115814781
"207623_at",-1.00885003145165,4.82159726042952,-1.37796575682127,0.184818841929268,0.455744695132049,-5.27911814614435,0.000316463793600709
"209865_at",1.63752358456709,5.17500157712997,1.37715879775485,0.185063952187202,0.455889949157803,-5.2801324030577,0.000629108949134464
"204157_s_at",-2.10126930819307,5.33783681527795,-1.37209963327008,0.186606592158246,0.45761038642363,-5.28648031366848,6.02282297746968e-05
"202919_at",-2.72070818491406,7.58161570926395,1.37013067864292,0.187209741042624,0.458316266716414,-5.28894574554109,0.00302141342555192
"216393_at",-3.27990828857794,5.67855089201713,1.36990996024965,0.187277450699066,0.458414595808258,-5.28922194090268,0.000562797408098071
"216158_at",-1.17150569583449,4.14311732773157,1.3688409357778,0.187605671958839,0.458932614805007,-5.29055915436342,9.49214969353269e-05
"208176_at",-2.1963963718823,7.09319695465545,1.36853946263561,0.187698315991518,0.459058454092744,-5.29093610677854,0.000267484922863143
"206740_x_at",-1.32689797309774,4.83465245389187,1.36373826263559,0.189178681134516,0.460976318590341,-5.29693034757391,0.00170114223384886
"206869_at",-1.65229924563659,5.38816338761977,1.3637150653097,0.189185856191207,0.460976318590341,-5.29695926789044,0.00640385964908248
"217706_at",-1.22606071944412,4.42568656945272,-1.36295688290788,0.189420485696572,0.461114789301956,-5.29790428212322,1.21599418963849e-06
"213464_at",-2.46719618694284,7.02595617177566,-1.36040164150244,0.190212949914606,0.461963505498328,-5.30108606158177,0.000252083984790906
"209602_s_at",-2.80965555515506,3.91814731816622,1.34946309408496,0.193635284137412,0.466663966735231,-5.31465208895402,0.00021318244953756
"217236_x_at",-2.78878766603933,4.61340964633318,-1.34881113392373,0.193840799766761,0.466906771289887,-5.31545784998867,0.000247885150993386
"210555_s_at",1.8556873076616,6.36885238806571,-1.34758383244349,0.194228149307921,0.467435560106751,-5.31697382140408,0.0292252732664048
"220998_s_at",1.68161680232029,6.56366367316419,-1.34744083371601,0.194273321246505,0.467493781569748,-5.31715038160362,0.000520846531993999
"215091_s_at",1.22928724796401,8.57862770835279,-1.34002363202547,0.196627815330076,0.47103277884357,-5.32628751276741,0.00711396804849504
"211529_x_at",-1.23729901495464,10.9541183566895,1.33962868286725,0.196753819072071,0.47107181158085,-5.32677289453272,0.00136679936680754
"221778_at",-1.29067428736214,7.04697597737465,1.328013780024,0.200488123396258,0.476097428661094,-5.34099516128242,0.000474603958548261
"64883_at",-1.066043160124,6.8564703185895,1.32194147092731,0.202462623837822,0.47821439972209,-5.34839036040268,0.0178202192345622
"219638_at",-2.30263134484385,4.52529586676875,1.31381211473259,0.205129994948169,0.481757132950049,-5.35824731574955,0.00111331796021222
"206754_s_at",2.25845204604168,6.78274762807709,1.31053460129808,0.206213197589515,0.482977578504011,-5.36220724470386,0.000142698515221298
"215275_at",1.19216541542802,4.96622549636535,1.30590127785806,0.207752160507887,0.484768471598703,-5.36779142143571,0.0360178490123619
"203160_s_at",1.21068216863563,6.30004332576702,1.30587467018041,0.207761024268169,0.484768471598703,-5.36782344262553,0.0385685209627139
"91920_at",-1.80407374472421,7.74434786358756,1.30495191686739,0.208068603029126,0.485181318679155,-5.36893360449668,0.000112330008833806
"208082_x_at",-1.45885590455124,8.5370978445865,1.30356069025844,0.208533012698273,0.485654381475295,-5.37060616532374,1.79429082531129e-05
"215192_at",-1.07762588326921,4.29715918811139,-1.29596648486363,0.211082416674377,0.488776874611653,-5.3797101772323,0.00387101204571416
"201547_at",-1.16160713522837,4.58347478478205,1.28751166759887,0.213949386029259,0.492393624186169,-5.38979427378936,0.00176638727467572
"221647_s_at",-1.01978265126785,8.37103286086449,1.27998987550762,0.21652547120334,0.495287760180938,-5.39871966892294,0.000426663029426262
"221821_s_at",-2.19746926422908,6.72895890449446,1.27481875396507,0.218310476937224,0.497505865984063,-5.40483061214866,0.000234566463689355
"212902_at",-2.51193933477736,4.91123206099193,1.27473102217323,0.218340859389703,0.49751213208879,-5.40493411168941,8.09623288065126e-05
"201240_s_at",-1.12837617822652,9.80040674857798,1.26461094762,0.221867679712655,0.501786950267526,-5.41683331495803,0.000389999556018738
"208904_s_at",1.13451071555538,12.1620565900142,-1.26422218386005,0.222004039894351,0.501970169555131,-5.41728885094251,0.000489014620335617
"211389_x_at",2.14456997781549,5.05860517518628,1.26155372598607,0.222941765957603,0.503069505907166,-5.42041248316632,0.00109988369380843
"217985_s_at",1.43659619068876,5.61867555913259,-1.24294694045651,0.229565929251218,0.511899347751428,-5.44203994371489,0.00673747243080106
"215975_x_at",1.63954447765949,6.07320564999613,1.21735683193513,0.238922626958762,0.523033382822204,-5.47134385067329,3.11680148902366e-05
"202738_s_at",-1.78756385344237,7.01641663988758,1.20631717816872,0.243048074510666,0.527348880349924,-5.48382691705729,0.00456683549476804
"200969_at",1.00147871009903,6.87296758875883,1.20386265017647,0.243972647151634,0.528476960870989,-5.48658929853403,0.00111912707247524
"208341_x_at",-1.45327298807677,5.69336823278466,1.20286159103843,0.244350493968667,0.529038983451774,-5.48771454535301,5.73184063149653e-05
"218768_at",-1.28363927823199,7.29667799899797,-1.19883520840778,0.245874736235091,0.53068837151555,-5.49223241378577,0.00155414476396578
"208493_at",-1.04802543929066,6.47230623530719,1.1956845822608,0.24707247757574,0.532246455019798,-5.49575866521217,0.00963336759934685
"210389_x_at",-1.0886502311863,5.72569396340564,1.18392799635397,0.251580945978337,0.537460232849301,-5.50884727585879,0.00362466412436364
"222060_at",-1.16336067470885,5.64909045699057,-1.18368315236498,0.251675496690398,0.537494574588409,-5.50911869101759,0.0234804225510427
"216462_at",-1.25138323511872,3.93553787548667,1.14206330681005,0.268140151106255,0.555252737139223,-5.55455669072977,0.00218882583736731
"208992_s_at",-3.30122350520467,8.63327139479176,1.13279873754841,0.271912076976486,0.558949890338287,-5.56448091404744,0.000889201290701598
"205917_at",-1.13995845076724,7.50068964204309,-1.10542310190294,0.283287252755682,0.57132999194584,-5.59339682419864,0.0113309479660797
"205552_s_at",-1.42738257614502,4.71268969657006,-1.10203553227049,0.284718822165292,0.572915735232301,-5.5969322933292,0.00060379211424831
"203629_s_at",-1.13191478541785,5.17370124193047,1.09919000537064,0.285925419146252,0.573963934001135,-5.59989475650154,0.0133147883642617
"209835_x_at",-1.11438933000073,8.16934914497411,-1.09523694783641,0.287607852156144,0.576017056407995,-5.60399919184975,0.000811053720079707
"217516_x_at",-1.01614518149798,7.94075948592008,1.09403408972223,0.288121225501349,0.576558381514251,-5.60524555444761,0.000918666734637146
"211580_s_at",-1.13286276855528,5.2524437459586,1.09270668674532,0.288688530651916,0.577195740557797,-5.6066195801946,0.0158545024205192
"219547_at",-1.43581827090784,6.2710183125843,-1.06824258224343,0.299290265663677,0.587744992290151,-5.63168166747047,0.0361533577719408
"201304_at",-1.75448520156166,6.98486032166461,-1.06494909552785,0.300738772761284,0.589027166514871,-5.63501766770446,2.00713128268373e-06
"214743_at",-1.3915001422431,7.23006761779062,-1.06483705997417,0.300788135942822,0.589072071824038,-5.63513099036697,2.93243274388436e-05
"215286_s_at",-1.63406388402402,4.13038185351115,1.05320014888447,0.30594727301404,0.593697037757715,-5.64684448075603,0.0034861236281143
"217204_at",1.44126339185113,3.74086801063549,1.05152460212227,0.306695320421138,0.594011814897611,-5.6485217215675,2.67901453668114e-05
"208495_at",-1.43435461721415,4.27803069478731,-1.04265887651552,0.310675267997386,0.598131760565558,-5.65735720753503,0.000347327890172185
"216479_at",-1.4448207812613,6.52459100023355,1.04217684460659,0.310892712909172,0.598343610446976,-5.6578357026876,0.00370507496859962
"220931_at",1.06078377661271,4.02682780314241,1.04168746114522,0.311113585390692,0.598417874795696,-5.65832129554182,0.0318420022222206
"213650_at",-1.00331427693735,7.07420138114968,1.03802389462324,0.312770618131582,0.599732008656501,-5.66195008378415,0.0253387944899022
"221570_s_at",-1.02801728636521,7.24992216104493,-1.02401206436895,0.319166225804359,0.606358684423099,-5.67572447449013,0.00151044838931157
"209314_s_at",-1.51206041403309,4.23893320795992,-1.02284909292888,0.319701197283585,0.606909335412346,-5.67686028128333,0.000799901863570712
"211628_x_at",-1.30546243193937,11.3127600188243,-1.02234003151323,0.319935567433072,0.607302517174473,-5.67735709173448,0.00114222911411875
